Not Found: /
Not Found: /polls/1/results/rtr
Not Found: /polls/1/results/rtr
Not Found: /
Not Found: /
Not Found: /
Not Found: /
Not Found: /
Not Found: /
Not Found: /
Not Found: /
Not Found: /
Not Found: /
Not Found: /
Not Found: /
Not Found: /
Not Found: /
Not Found: /
Not Found: /
Not Found: /
Not Found: /
WARNING 2017-10-06 22:24:36,963  Not Found: /dfdfdf
WARNING 2017-10-06 22:25:54,300  Not Found: /polls
WARNING 2017-10-06 22:26:00,756  Not Found: /polls/
WARNING 2017-10-06 22:28:59,585  Not Found: /polls/indexfggfg
[2017-10-06 22:34:15,584] [WARNING] Not Found: /polls/indexfggfg
[2017-10-06 22:34:15,600] [WARNING] "GET /polls/indexfggfg HTTP/1.1" 404 22675
[2017-10-06 22:34:36,299] [WARNING] Not Found: /polls/
[2017-10-06 22:34:36,299] [WARNING] "GET /polls/ HTTP/1.1" 404 22645
[2017-10-06 22:34:43,881] [INFO] "GET /polls/index/ HTTP/1.1" 200 1948
[2017-10-06 22:34:59,349] [INFO] "POST /polls/index/login/ HTTP/1.1" 302 0
[2017-10-06 22:34:59,418] [INFO] "GET /polls/index/teacher/ HTTP/1.1" 200 2482
[2017-10-07 12:24:02,790] [WARNING] Not Found: /
[2017-10-07 12:24:02,806] [WARNING] "GET / HTTP/1.1" 404 2027
[2017-10-07 12:24:02,991] [WARNING] Not Found: /favicon.ico
[2017-10-07 12:24:02,991] [WARNING] "GET /favicon.ico HTTP/1.1" 404 2078
[2017-10-07 12:24:19,708] [INFO] "GET /polls/index/ HTTP/1.1" 200 1948
[2017-10-07 12:25:13,304] [INFO] "GET /polls/index/register/1/ HTTP/1.1" 200 4694
[2017-10-07 12:25:13,520] [INFO] "GET /static/polls/images/register_background.JPG HTTP/1.1" 200 763645
[2017-10-07 12:33:44,484] [INFO] "POST /polls/index/login/ HTTP/1.1" 200 25
[2017-10-07 12:33:58,175] [INFO] "POST /polls/index/login/ HTTP/1.1" 302 0
[2017-10-07 12:33:58,229] [INFO] "GET /polls/index/teacher/ HTTP/1.1" 200 2482
[2017-10-07 12:42:27,965] [INFO] "GET /polls/index/teacher/ HTTP/1.1" 200 2482
[2017-10-07 12:42:28,002] [INFO] "GET /static/polls/css/base.css HTTP/1.1" 200 308
